"Tag";"Stunde";"Minute";"Ruderschlaege/Minute";"Segel"
3;10;30;10;0
3;10;31;14;0
3;10;32;0;0
3;10;33;19;0
3;10;34;29;0
3;10;35;10;0
3;10;36;22;0
3;10;37;12;0
3;10;38;4;0
3;10;39;17;0
3;10;40;0;0
3;10;41;0;0
3;10;42;25;0
3;10;43;24;0
3;10;44;13;0
3;10;45;13;0
3;10;46;15;0
3;10;47;10;0
3;10;48;30;0
3;10;49;32;0
3;10;50;8;0
3;10;51;15;0
3;10;52;26;0
3;10;53;22;0
3;10;54;30;0
3;10;55;19;0
3;10;56;25;0
3;10;57;31;0
3;10;58;30;0
3;10;59;30;0
3;11;0;18;0
3;11;1;20;0
3;11;2;1;0
3;11;5;0;1
3;11;6;0;1
3;11;7;0;1
3;11;8;0;1
3;11;9;0;1
3;11;10;0;1
3;11;11;0;1
3;11;12;0;1
3;11;13;0;1
3;11;14;0;1
3;11;15;0;1
3;11;18;24;0
3;11;19;30;0
3;12;51;5;0
3;12;52;21;0
3;12;53;24;0
3;12;54;16;0
3;12;55;4;0
3;12;56;22;0
3;12;57;6;0
3;12;58;20;0
3;12;59;26;0
3;13;0;26;0
3;13;1;27;0
3;13;2;8;0
3;13;3;23;0
3;13;4;20;0
3;13;5;0;0
3;13;6;-10;0
3;13;7;0;0
3;13;8;0;0
3;13;9;0;1
3;13;10;0;1
3;13;11;0;1
3;13;12;0;1
3;13;13;0;1
3;13;14;0;1
3;13;15;0;1
3;13;16;0;1
3;13;17;0;1
3;13;18;0;1
3;13;19;0;1
3;13;20;0;1
3;13;21;0;1
3;13;22;0;0
3;13;23;-8;0
3;13;24;-14;0
3;13;32;11;0
3;13;33;12;0
3;13;34;8;0
3;13;35;23;0
3;13;36;24;0
3;13;37;0;0
3;13;38;18;0
3;13;39;25;0
3;13;40;11;0
3;13;41;11;0
3;13;42;23;0
3;13;43;26;0
3;13;44;19;0
3;13;45;-4;0
3;13;46;-4;0
3;13;47;0;0
3;13;48;0;0
3;13;49;-6;0
3;13;50;0;0
3;13;51;0;1
3;13;52;0;1
3;13;53;0;1
3;13;54;0;1
3;13;55;0;1
3;13;56;0;1
3;13;57;0;1
3;13;58;0;1
3;13;59;0;1
3;14;0;0;1
3;14;1;-15;0
3;14;2;8;0
3;14;3;11;0
3;14;4;4;0
3;14;5;-1;0
3;14;15;20;0
3;14;16;21;0
3;14;17;21;0
3;14;18;6;0
3;14;19;8;0
3;14;20;22;0
3;14;21;27;0
3;14;22;22;0
3;14;23;-1;0
3;14;24;-14;0
3;14;25;-9;0
3;14;26;0;0
3;14;27;0;1
3;14;28;0;1
3;14;29;0;1
3;14;30;0;1
3;14;31;0;0
3;14;32;0;0
3;14;33;-12;0
3;14;34;-18;0
3;14;35;-8;0
3;14;36;5;0
3;14;37;-13;0
3;17;22;25;0
3;17;23;6;0
3;17;24;30;0
3;17;25;0;0
3;17;26;13;0
3;17;27;25;0
3;17;28;22;0
3;17;29;0;0
3;17;30;21;0
3;17;31;23;0
3;17;32;32;0
3;17;33;9;0
3;17;34;26;0
3;17;35;30;0
3;17;36;0;0
3;17;37;0;0
3;17;38;22;0
3;17;39;7;0
3;17;40;0;0
3;17;41;0;0
3;17;42;0;1
3;17;43;0;1
3;17;44;0;1
3;17;45;0;1
3;17;46;0;1
3;17;47;0;1
3;17;48;0;1
3;17;49;17;0
3;17;50;16;0
3;17;51;24;0
3;17;52;32;0
3;17;53;20;0
3;17;54;4;0
3;17;55;31;0
3;17;56;30;0
3;17;57;6;0
3;17;58;31;0
3;17;59;25;0
3;18;0;20;0
3;18;1;6;0
3;18;2;0;1
