Tag;Stunde;Minute;Ruderschlaege/Minute;Segel
14;15;15;11;0
14;15;16;8;0
14;15;17;1;0
14;15;21;7;0
14;15;22;4;0
14;15;27;-5;0
14;15;28;3;0
14;15;29;6;0
14;15;30;14;0
14;15;31;15;0
14;15;32;5;0
14;15;34;9;0
14;15;35;16;0
14;15;36;15;0
14;15;38;16;0
14;15;39;20;0
14;15;40;9;0
14;15;41;-1;0
14;15;42;-1;0
14;15;43;10;0
14;15;44;9;0
14;15;45;13;0
14;15;46;17;0
14;15;47;10;0
14;15;52;-11;0
14;15;53;19;0
14;15;54;15;0
14;15;55;11;0
14;15;56;19;0
14;15;57;19;0
14;15;58;18;0
14;16;2;6;0
14;16;3;20;0
14;16;4;29;0
14;16;5;29;0
14;16;6;27;0
14;16;10;18;0
14;16;11;-15;0
14;16;12;-8;0
14;16;54;3;0
14;16;55;5;0
14;16;57;7;0
14;16;58;-99;0
14;16;59;-99;0
14;17;0;-99;0
14;17;1;-99;0
14;17;2;-99;0
14;17;3;-99;0
14;17;4;-99;0
14;17;5;-99;0
14;17;6;-99;0
14;17;7;-99;0
14;17;8;-1;0
14;17;9;-7;0
14;17;10;-99;0
14;17;11;-99;0
14;17;12;-99;0
14;17;13;-99;0
14;17;14;-99;0
14;17;15;-99;0
14;17;20;2;0
14;17;21;24;0
14;17;22;13;0
14;17;26;25;0
14;17;27;18;0
14;17;33;27;0
14;17;34;5;0
14;17;35;19;0
14;17;36;10;0
14;17;38;7;0
14;17;39;-11;0
14;17;47;-4;0
14;17;48;20;0
14;17;49;30;0
14;17;50;12;0
14;17;56;21;0
14;17;57;24;0
14;17;58;7;0
14;18;2;9;0
14;18;3;25;0
14;18;7;27;0
14;18;8;28;0
14;18;9;15;0
14;18;10;4;0
15;12;30;-7;0
15;12;31;-4;0
15;12;32;-4;0
15;12;33;15;0
15;12;34;4;0
15;12;35;20;0
15;12;36;24;0
15;12;37;23;0
15;12;39;8;0
15;12;40;24;0
15;12;41;26;0
15;12;42;7;0
15;12;46;7;0
15;12;47;-21;0
15;12;48;26;0
15;12;49;17;0
15;12;50;-4;0
15;12;52;12;0
15;13;1;23;0
15;13;2;27;0
15;13;3;22;0
15;13;6;5;0
15;13;7;20;0
15;13;8;25;0
15;13;9;28;0
15;13;10;27;0
15;13;11;31;0
15;13;12;17;0
15;13;15;-4;0
15;13;18;27;0
15;13;19;14;0
15;13;22;16;0
15;13;23;30;0
15;13;24;29;0
15;13;25;23;0
15;13;28;20;0
15;13;29;25;0
15;13;30;29;0
15;13;31;29;0
15;13;32;29;0
15;13;33;27;0
15;13;43;14;0
15;13;44;10;0
15;13;45;30;0
15;13;46;30;0
15;13;47;30;0
15;13;48;28;0
15;13;49;22;0
15;13;53;15;0
15;13;54;23;0
15;13;55;29;0
15;13;56;28;0
15;13;57;28;0
15;13;58;-3;0
15;13;59;-4;0
15;14;0;-4;0
15;14;1;30;0
15;14;2;26;0
15;14;3;30;0
15;14;4;28;0
15;14;5;29;0
15;14;6;29;0
15;14;7;28;0
15;14;8;29;0
15;14;9;30;0
15;14;10;11;0
15;14;14;28;0
15;14;15;31;0
15;14;18;21;0
15;14;19;-9;0
15;14;22;-7;0
15;14;23;-15;0
15;14;25;-15;0
15;14;26;28;0
15;14;27;-15;0
15;14;28;25;0
15;14;30;-15;0
16;14;31;-3;0
16;14;32;16;0
16;14;33;11;0
16;14;34;7;0
16;14;35;13;0
16;14;36;8;0
16;14;37;13;0
16;14;38;6;0
16;14;39;24;0
16;14;40;24;0
16;14;41;25;0
16;14;42;-7;0
16;14;46;-99;0
16;14;47;-99;0
16;14;48;-99;0
16;14;49;-99;0
16;14;51;-99;0
16;14;52;-99;0
16;14;53;-99;0
16;14;54;-99;0
16;14;56;2;0
16;14;57;-7;0
16;14;59;-15;0
16;15;0;-10;0
16;15;1;-12;0
16;15;2;-6;0
16;15;4;5;0
16;15;5;-6;0
16;15;6;8;0
16;15;7;25;0
16;15;8;24;0
16;15;9;24;0
16;15;10;25;0
16;15;11;26;0
16;15;12;26;0
16;15;13;28;0
16;15;14;-6;0
16;15;19;0;1
16;15;20;0;1
16;15;21;0;1
16;15;22;0;1
16;15;23;0;1
16;15;24;0;1
16;15;27;-10;0
16;15;28;14;0
16;15;29;20;0
16;15;30;27;0
16;15;31;26;0
16;15;32;27;0
16;15;33;29;0
16;15;34;27;0
16;15;35;26;0
16;15;36;26;0
16;15;37;28;0
16;15;38;29;0
16;15;39;27;0
16;15;40;-7;0
16;15;54;19;0
16;15;55;31;0
16;15;56;31;0
16;15;57;34;0
16;15;58;12;0
16;16;0;16;0
16;16;1;22;0
16;16;37;2;0
16;16;38;27;0
16;16;39;31;0
16;16;40;31;0
16;16;41;32;0
16;16;42;31;0
16;16;43;30;0
16;16;44;30;0
16;16;45;22;0
16;16;46;29;0
