DATE,TIME,LAT,LON,AWA,AWS,BOD,BSP,BTW,CMG,COG,CTS,DEP,DFT,DMG,DST,DTW,HDC,LOG,RDR,HEL,PIT,SET,SOG,TBS,TEMP,TWA,TWD,TWS,VAR,VMG,WCV,XTE,GWD,MRA,AI01,AI02,AI03,AI04,AI05,AI06
9576,47696,49.5851,10.9703,-37.1887,0.3,,0,,359.989,228.961,,,0.01,0,,,50.1636,309.79,-0.00549316,,,229.922,0.01,,23,-39.5453,10.6183,0.29,0,0,,,322.811,,322.811,322.811,322.811,322.811,322.811,322.811
9576,47696,49.5851,10.9703,-63.6658,0.3,,0,,359.989,228.961,,,0.01,0,,,50.1636,309.79,-0.00549316,,,229.922,0.01,,23,-39.5453,10.6183,0.29,0,0,,,296.334,,296.334,296.334,296.334,296.334,296.334,296.334
9576,47696,49.5851,10.9703,-63.6658,0.3,,0,,359.989,228.961,,,0.01,0,,,50.5591,309.79,-0.00549316,,,229.922,0.01,,23,-64.3085,346.251,0.29,0,0,,,296.334,,296.334,296.334,296.334,296.334,296.334,296.334
9576,47696,49.5851,10.9703,-63.6658,0.3,,0,,359.989,228.961,,,0.01,0,,,50.4602,309.79,-0.00549316,,,229.922,0.01,,23,-64.3085,346.152,0.29,0,0,,,296.334,,296.334,296.334,296.334,296.334,296.334,296.334
9576,47696,49.5851,10.9703,-63.6658,0.3,,0,,359.989,228.961,,,0.01,0,,,50.9271,309.79,-0.00549316,,,229.922,0.01,,23,-64.3085,346.619,0.29,0,0,,,296.334,,296.334,296.334,296.334,296.334,296.334,296.334
9576,47697,49.5851,10.9703,-63.6658,0.3,,0,,359.989,228.961,,,0.01,0,,,50.7843,309.79,-0.00549316,,,229.922,0.01,,23,-64.3085,346.476,0.29,0,0,,,296.334,,296.334,296.334,296.334,296.334,296.334,296.334
9576,47697,49.5851,10.9703,-63.6658,0.3,,0,,359.989,228.961,,,0.01,0,,,50.8722,309.79,-0.00549316,,,229.922,0.01,,23,-64.3085,346.564,0.29,0,0,,,296.334,,296.334,296.334,296.334,296.334,296.334,296.334
9576,47697,49.5851,10.9703,-63.6658,0.3,,0,,359.989,228.961,,,0.01,0,,,50.8997,309.79,-0.00549316,,,229.922,0.01,,23,-64.3085,346.591,0.29,0,0,,,296.334,,296.334,296.334,296.334,296.334,296.334,296.334
9576,47697,49.5851,10.9703,-63.6658,0.3,,0,,359.989,228.961,,,0.01,0,,,50.8502,309.79,-0.00549316,,,229.922,0.01,,23,-64.3085,346.542,0.29,0,0,,,296.334,,296.334,296.334,296.334,296.334,296.334,296.334
9576,47697,49.5851,10.9703,-63.6658,0.3,,0,,359.989,229.169,,,0.01,0,,,51.015,309.79,-0.00549316,,,229.922,0.01,,23,-64.3085,346.707,0.29,0,0,,,296.334,,296.334,296.334,296.334,296.334,296.334,296.334
